Gene,Degree,Betweenness,Closeness,EigenCentrality,Eccentricity,ClosenessLatora,ClosenessResidual,Decay,Geokpath,Laplacian,Leverage,Lobby,Mnc,Semilocal,Topocoefficient,Kcore,ClusteringCoefficient,CrRatio,Class
AP3D1,7,22937.81882,1.45E-08,0.003470602,0.0625,5144.253334,1220.361191,230,3455,502,-0.074841095,6,4,229144,6.618181818,4,0.238095238,0,NotCR
ELAVL1,86,418400.7234,1.45E-08,0.145949798,0.066666667,6379.887937,2065.958954,4081,10455,15472,0.447942654,35,68,5843472,43.5511435,18,0.053625171,0,NotCR
HOOK2,15,12292.20378,1.45E-08,0.004673945,0.0625,5269.491891,1301.520508,297,4299,804,0.023787712,12,4,275344,12.67527675,9,0.047619048,0,NotCR
PRKACA,39,214954.2289,1.45E-08,0.051425616,0.066666667,6111.28083,1875.17746,2020,9097,5522,0.235328825,20,29,2612426,27.01367089,13,0.090418354,0.025641026,NotCR
GIPC1,20,129564.7897,1.45E-08,0.002590969,0.0625,5254.559699,1293.086548,217,4269,814,0.460513254,9,4,164018,17.3480663,7,0.021052632,0.05,NotCR
JAK3,10,31769.34445,1.45E-08,0.0105545,0.066666667,5368.580084,1365.894684,285,5071,660,-0.205959386,9,4,414498,5.985130112,7,0.133333333,0,NotCR
TGFB1,14,43654.00293,1.45E-08,0.008034383,0.0625,5465.837307,1439.847168,561,5425,1304,-0.052268951,10,3,568245,12.98888889,8,0.043956044,0,NotCR
GYS1,8,17857.6476,1.45E-08,0.009909765,0.0625,5267.333583,1302.073364,380,4262,816,-0.235047727,6,8,372387,6,6,0.285714286,0,NotCR
XDH,1,0,1.45E-08,0.001292835,0.0625,4788.961798,989.7733307,55,1546,110,-0.963636364,1,1,71215,1,1,0,0,NotCR
PCBP1,43,119978.2149,1.45E-08,0.100006106,0.066666667,6114.453846,1880.287811,2637,9097,7080,0.114113487,25,37,3630177,24.69010819,18,0.096345515,0.023255814,NotCR
MTHFD2,1,0,1.45E-08,4.90E-05,0.058823529,4105.270335,599.4896774,9,228,18,-0.777777778,1,1,5899,1,1,0,0,NotCR
RPIA,9,9199.920012,1.45E-08,0.002949677,0.0625,5163.900369,1240.016357,269,4075,610,-0.293462541,8,2,200476,7.826086957,6,0.027777778,0,NotCR
NPAS2,4,2531.162857,1.45E-08,0.00385055,0.066666667,4952.235784,1084.89566,133,2383,278,-0.503141534,4,2,173053,3.275590551,3,0.166666667,0,NotCR
SH3RF3,1,0,1.45E-08,0.000931848,0.0625,4800.441502,998.0533295,72,2088,144,-0.972222222,1,1,62706,1,1,0,0,NotCR
BZW1,3,616.027105,1.45E-08,0.004053362,0.0625,5037.96495,1152.79332,154,2977,314,-0.710815472,3,1,158440,2.97972973,3,0,0,NotCR
NDUFS1,42,124224.6082,1.45E-08,0.051599332,0.066666667,5989.569106,1804.587128,2504,8371,6730,0.124475052,26,41,2823377,25.24095896,13,0.224157956,0.023809524,NotCR
PYGB,2,1508.678793,1.45E-08,0.0085212,0.0625,5108.816754,1193.825058,211,3069,424,-0.490430622,2,1,278529,2,2,0,0,NotCR
SOD1,51,971210.6701,1.45E-08,0.040700213,0.066666667,6290.369936,2005.905304,1997,10506,6544,0.457362695,20,19,2447576,40.6140625,14,0.026666667,0.078431373,CR
CBS,1,0,1.45E-08,0.004387127,0.066666667,5120.033283,1195.498566,169,3259,338,-0.98816568,1,1,213018,1,1,0,0,CR
